event_type,count,valid,mixed,fail,pending,avg_1d,avg_3d,avg_5d
buy,18,5,5,2,6,-0.003599014168662879,-0.00660104707965764,-0.007182155110867015
sell,8,6,0,1,1,-0.006431806267799961,-0.021698324431524446,-0.02148638223448856
