date,log_time,log_kind,code,name,price,status,source
2026-05-14,15:32:49,intraday,516110,汽车ETF,1.294,✗ 趋势偏弱,scan_0514_intraday.log
2026-05-14,15:32:49,intraday,516160,新能源ETF,3.223,- 趋势完好,scan_0514_intraday.log
2026-05-14,15:32:49,intraday,560080,黄金股ETF,0.994,✗ 趋势偏弱,scan_0514_intraday.log
2026-05-14,15:32:49,intraday,562800,机器人ETF,1.132,- 趋势完好,scan_0514_intraday.log
2026-05-14,15:32:49,intraday,588000,科创50ETF,1.815,◇ 多头排列,scan_0514_intraday.log
2026-05-15,14:50:25,intraday,159869,游戏ETF,1.273,✗ 趋势偏弱,scan_0515_intraday.log
2026-05-15,14:50:25,intraday,159915,创业板ETF,3.943,- 趋势完好,scan_0515_intraday.log
2026-05-15,14:50:25,intraday,159995,芯片ETF,2.321,- 趋势完好,scan_0515_intraday.log
2026-05-15,14:50:25,intraday,510300,沪深300ETF,4.879,- 趋势完好,scan_0515_intraday.log
2026-05-15,14:50:25,intraday,510500,中证500ETF,8.621,- 趋势完好,scan_0515_intraday.log
2026-05-15,14:50:25,intraday,512010,医药ETF,0.357,✗ 趋势偏弱,scan_0515_intraday.log
2026-05-15,14:50:25,intraday,512100,中证1000ETF,3.49,- 趋势完好,scan_0515_intraday.log
2026-05-15,14:50:25,intraday,512200,房地产ETF,1.435,✗ 趋势偏弱,scan_0515_intraday.log
2026-05-15,14:50:25,intraday,512400,有色金属ETF,2.038,✗ 趋势偏弱,scan_0515_intraday.log
2026-05-15,14:50:25,intraday,512480,半导体ETF,2.042,- 趋势完好,scan_0515_intraday.log
2026-05-15,14:50:25,intraday,512580,环保ETF,1.429,- 趋势完好,scan_0515_intraday.log
2026-05-15,14:50:25,intraday,512660,军工ETF,1.386,✗ 趋势偏弱,scan_0515_intraday.log
2026-05-15,14:50:25,intraday,512690,酒ETF,0.456,✗ 趋势偏弱,scan_0515_intraday.log
2026-05-15,14:50:25,intraday,512800,银行ETF,0.779,✗ 趋势偏弱,scan_0515_intraday.log
2026-05-15,14:50:25,intraday,512880,证券ETF,1.049,✗ 趋势偏弱,scan_0515_intraday.log
2026-05-15,14:50:25,intraday,512980,传媒ETF,0.98,✗ 趋势偏弱,scan_0515_intraday.log
2026-05-15,10:28:03,morning,515050,5GETF,1.116,- 趋势完好,scan_0515_morning.log
2026-05-15,14:50:25,intraday,515070,人工智能ETF,2.479,- 趋势完好,scan_0515_intraday.log
2026-05-15,14:50:25,intraday,515790,光伏ETF,1.106,- 趋势完好,scan_0515_intraday.log
2026-05-15,14:50:25,intraday,515880,通信ETF,1.503,✗ 趋势偏弱,scan_0515_intraday.log
2026-05-15,14:50:25,intraday,516110,汽车ETF,1.302,✗ 趋势偏弱,scan_0515_intraday.log
2026-05-15,14:50:25,intraday,516160,新能源ETF,3.198,▲ 接近支撑,scan_0515_intraday.log
2026-05-15,14:50:25,intraday,560080,黄金股ETF,0.974,✗ 趋势偏弱,scan_0515_intraday.log
2026-05-15,14:50:25,intraday,562800,机器人ETF,1.102,▲ 接近支撑,scan_0515_intraday.log
2026-05-15,14:50:25,intraday,588000,科创50ETF,1.793,- 趋势完好,scan_0515_intraday.log
2026-05-18,14:43:13,intraday,159869,游戏ETF,1.246,✗ 趋势偏弱,scan_0518_intraday.log
2026-05-18,14:43:13,intraday,159915,创业板ETF,3.903,- 趋势完好,scan_0518_intraday.log
2026-05-18,14:43:13,intraday,159995,芯片ETF,2.324,- 趋势完好,scan_0518_intraday.log
2026-05-18,14:43:13,intraday,510300,沪深300ETF,4.829,▲ 接近支撑,scan_0518_intraday.log
2026-05-18,14:43:13,intraday,510500,中证500ETF,8.587,- 趋势完好,scan_0518_intraday.log
2026-05-18,14:43:13,intraday,512010,医药ETF,0.348,✗ 趋势偏弱,scan_0518_intraday.log
2026-05-18,14:43:13,intraday,512100,中证1000ETF,3.49,- 趋势完好,scan_0518_intraday.log
2026-05-18,14:43:13,intraday,512200,房地产ETF,1.407,✗ 趋势偏弱,scan_0518_intraday.log
2026-05-18,14:43:13,intraday,512400,有色金属ETF,1.997,✗ 趋势偏弱,scan_0518_intraday.log
2026-05-18,14:43:13,intraday,512480,半导体ETF,2.043,- 趋势完好,scan_0518_intraday.log
2026-05-18,14:43:13,intraday,512580,环保ETF,1.423,▲ 接近支撑,scan_0518_intraday.log
2026-05-18,14:43:13,intraday,512660,军工ETF,1.37,✗ 趋势偏弱,scan_0518_intraday.log
2026-05-18,14:43:13,intraday,512690,酒ETF,0.451,✗ 趋势偏弱,scan_0518_intraday.log
2026-05-18,14:43:13,intraday,512800,银行ETF,0.771,✗ 趋势偏弱,scan_0518_intraday.log
2026-05-18,14:43:13,intraday,512880,证券ETF,1.043,✗ 趋势偏弱,scan_0518_intraday.log
2026-05-18,14:43:13,intraday,512980,传媒ETF,0.973,✗ 趋势偏弱,scan_0518_intraday.log
2026-05-18,14:43:13,intraday,515070,人工智能ETF,2.47,- 趋势完好,scan_0518_intraday.log
2026-05-18,14:43:13,intraday,515790,光伏ETF,1.096,- 趋势完好,scan_0518_intraday.log
2026-05-18,14:43:13,intraday,515880,通信ETF,1.51,✗ 趋势偏弱,scan_0518_intraday.log
2026-05-18,14:43:13,intraday,516110,汽车ETF,1.285,✗ 趋势偏弱,scan_0518_intraday.log
2026-05-18,14:43:13,intraday,516160,新能源ETF,3.176,▲ 接近支撑,scan_0518_intraday.log
