event_type,count,valid,mixed,fail,pending,avg_1d,avg_3d,avg_5d
buy,12,5,0,1,6,-0.0073936330307950715,0.00851973767068214,0.031779606752120916
sell,2,1,0,0,1,-0.011089765079037583,-0.008917197452229297,-0.04713375796178343
